landmark_id,x_norm,y_norm,z_norm,x_px,y_px,z_approx_px
177,0.15074297785758972,0.671062171459198,0.08459911495447159,33,150,18
178,0.4823947548866272,0.8038288950920105,-0.028580686077475548,108,180,-6
179,0.47834110260009766,0.8141260743141174,-0.03254297375679016,107,182,-7
180,0.4725155234336853,0.8288401365280151,-0.034584809094667435,105,185,-7
181,0.46609342098236084,0.8446326851844788,-0.029131175950169563,104,189,-6
182,0.44716551899909973,0.858291506767273,-0.006166277918964624,100,192,-1
183,0.43329232931137085,0.796229362487793,-0.027203455567359924,97,178,-6
184,0.4250389337539673,0.7943347692489624,-0.031087808310985565,95,177,-6
185,0.41617438197135925,0.7897765636444092,-0.034276336431503296,93,176,-7
186,0.3891288936138153,0.769924521446228,-0.038177795708179474,87,172,-8
187,0.2547317147254944,0.6930670738220215,-0.024655766785144806,57,155,-5
188,0.4800559878349304,0.5110144019126892,-0.07640460878610611,107,114,-17
189,0.44573768973350525,0.4485684633255005,-0.04477260634303093,99,100,-10
190,0.4229673445224762,0.45160096883773804,-0.04345501586794853,94,101,-9
191,0.4377117156982422,0.7916746139526367,-0.02240246720612049,98,177,-5
192,0.24369297921657562,0.7573397755622864,0.025164691731333733,54,169,5
193,0.4815268814563751,0.44855746626853943,-0.06997625529766083,107,100,-15
194,0.4249723255634308,0.8766492009162903,0.01115712895989418,95,196,2
195,0.5586832165718079,0.5523279905319214,-0.12686923146247864,125,123,-28
196,0.5188482999801636,0.5281885862350464,-0.10970331728458405,116,118,-24
197,0.5474004745483398,0.5205492973327637,-0.10765011608600616,122,116,-24
198,0.4719184637069702,0.5916160941123962,-0.09428097307682037,105,132,-21
199,0.520283579826355,0.911827564239502,0.028610771521925926,116,204,6
200,0.5237665772438049,0.8859735131263733,0.02263537421822548,117,198,5
201,0.47462451457977295,0.889594554901123,0.0146309370175004,106,199,3
202,0.3553599715232849,0.8310357332229614,0.005162159446626902,79,186,1
203,0.40450549125671387,0.6726836562156677,-0.04954192787408829,90,150,-11
204,0.38521119952201843,0.8576372265815735,0.009743688628077507,86,192,2
205,0.3343179225921631,0.6719116568565369,-0.05639518052339554,74,150,-12
206,0.37949350476264954,0.7050570845603943,-0.048778824508190155,85,157,-10
207,0.30593279004096985,0.7190049886703491,-0.03616581857204437,68,161,-8
