имя_файла,дата_обработки,форма_лба,положение_бровей,форма_головы,ошибка,соотношение_лба,средняя_высота_бровей,соотношение_головы
Вилли Джозеф Кансел.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,11.8,22.4,1.21
виталий зверев академик ран.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,13.86,21.1,1.32
виталий зверев академик ран1.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,10.18,18.7,1.22
виталий зверев академик ран1ы.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,12.17,37.8,1.26
виталий зверев академик ран3.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,11.07,20.3,1.24
виталий зверев академик ран4.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,6.25,21.0,1.05
Галина Бороздина (1).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,3.92,58.1,0.91
Галина Бороздина (10).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,7.78,29.8,1.12
Галина Бороздина (11).jpg,2025-04-17 15:48:37,прямоугольный,низкие,горизонтальная,,9.86,13.3,1.04
Галина Бороздина (2).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,11.98,34.0,1.28
Галина Бороздина (3).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,7.85,25.7,1.11
Галина Бороздина (4).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,7.89,66.4,1.13
Галина Бороздина (5).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,10.16,74.2,1.23
Галина Бороздина (6).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,6.83,83.1,1.08
Галина Бороздина (7).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,6.29,103.1,1.04
Галина Бороздина (8).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,11.27,43.4,1.27
Галина Бороздина (9).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,10.24,18.5,1.03
Геннадий Юхтин.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,12.33,22.2,1.29
Геннадий Юхтин1.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,7.19,18.9,1.08
Геннадий Юхтин2.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,11.56,19.3,1.24
Геннадий Юхтин3.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,11.8,21.0,1.24
Геннадий Юхтин4.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,11.21,16.4,1.25
Герман Гессе (1).jpg,2025-04-17 15:48:37,прямоугольный,низкие,горизонтальная,,8.4,14.8,1.13
Герман Гессе (2).jpg,2025-04-17 15:48:37,не определено,не определено,не определено,Лицо не обнаружено
Герман Гессе (4).jpg,2025-04-17 15:48:37,не определено,не определено,не определено,Лицо не обнаружено
Герман Гессе (5).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,9.25,61.9,1.16
Герман Гессе (6).jpg,2025-04-17 15:48:37,прямоугольный,низкие,горизонтальная,,7.92,12.9,1.12
Гребенщиков.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,9.46,17.1,1.2
гребенщиков1.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,12.09,18.9,1.27
гребенщиков2.jpg,2025-04-17 15:48:37,прямоугольный,низкие,горизонтальная,,10.27,14.7,1.22
гребенщиков3.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,8.99,16.6,1.17
гребенщиков4.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,6.65,18.7,1.07
гребенщиков5.jpg,2025-04-17 15:48:37,прямоугольный,низкие,горизонтальная,,7.5,14.4,1.11
гребенщиков6.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,7.0,15.3,1.09
гребенщиков8.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,8.64,21.3,1.14
гребенщиков9.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,7.22,20.8,1.09
ДАНИИЛ СПИВАКОВСКИЙ (1).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,9.89,41.5,1.18
ДАНИИЛ СПИВАКОВСКИЙ (2).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,6.78,22.0,1.07
ДАНИИЛ СПИВАКОВСКИЙ (3).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,9.85,20.4,1.19
ДАНИИЛ СПИВАКОВСКИЙ (4).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,10.94,29.7,0.97
ДАНИИЛ СПИВАКОВСКИЙ (5).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,13.77,91.5,1.31
ДАНИИЛ СПИВАКОВСКИЙ (6).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,8.14,27.6,1.12
Дарья Шаломова (1).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,9.09,31.4,1.16
Дарья Шаломова (10).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,6.18,111.3,1.05
Дарья Шаломова (11).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,6.9,79.1,1.08
Дарья Шаломова (12).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,4.99,80.7,0.97
Дарья Шаломова (13).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,4.38,102.7,0.94
Дарья Шаломова (2).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,11.59,51.9,1.27
Дарья Шаломова (3).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,7.03,68.2,1.08
Дарья Шаломова (4).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,8.18,75.9,1.14
Дарья Шаломова (5).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,11.04,65.2,1.24
Дарья Шаломова (6).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,9.61,50.0,1.19
Дарья Шаломова (7).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,12.24,88.2,1.25
Дарья Шаломова (8).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,5.77,91.3,1.03
Дарья Шаломова (9).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,13.16,93.9,1.31
Дарья Шельвинская (1).jpg,2025-04-17 15:48:37,прямоугольный,низкие,горизонтальная,,3.88,6.8,0.93
Дарья Шельвинская (10).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,5.08,22.2,0.98
Дарья Шельвинская (2).jpg,2025-04-17 15:48:37,прямоугольный,низкие,горизонтальная,,3.34,5.2,0.89
Дарья Шельвинская (3).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,11.28,24.9,1.25
